year,place,16-24,25-34,35-44,45-54,55-64,65+
2011,city/large town,13.8,13.0,9.4,13.2,8.9,6.7
2011,small town,7.9,8.1,7.0,7.2,4.1,9.2
2011,village,4.4,4.0,2.7,2.8,2.0,2.1
2011,rural countryside,3.9,3.6,3.8,4.2,4.9,3.7
2011,seaside resort or town,1.8,1.8,0.8,2.1,2.0,1.2
2011,seaside coastline - a beach,1.1,1.7,1.1,1.3,1.1,0.5
2011,other seaside coastline,0.3,0.2,0.2,0.5,0.5,0.5
2011,other,0.4,0.4,0.6,0.6,0.7,0.7
2012,city/large town,14.3,16.7,9.1,13.6,10.8,10.7
2012,small town,5.9,7.7,4.9,8.0,6.2,11.3
2012,village,3.5,3.4,3.0,2.5,2.8,3.3
2012,rural countryside,2.6,4.5,2.7,4.1,5.0,5.5
2012,seaside resort or town,1.9,1.1,1.2,1.9,1.8,0.9
2012,seaside coastline - a beach,0.9,1.9,0.9,1.1,0.3,1.2
2012,other seaside coastline,0.1,0.2,0.3,0.1,0.3,1.3
2012,other,0.5,0.3,0.4,0.3,0.2,1.8
2013,city/large town,15.0,11.7,9.6,11.7,9.8,10.7
2013,small town,6.4,6.3,5.4,6.3,5.4,7.6
2013,village,1.8,3.7,2.4,2.9,2.9,3.2
2013,rural countryside,3.3,3.1,3.5,3.8,3.1,3.9
2013,seaside resort or town,1.0,1.5,0.6,1.7,1.6,2.3
2013,seaside coastline - a beach,1.3,1.3,0.6,0.8,0.6,0.5
2013,other seaside coastline,0.4,0.0,0.3,0.2,1.0,0.9
2013,other,0.4,0.4,0.5,0.4,0.2,0.5
2014,type of place visited,,,,,,
2014,city/large town,13.6,10.3,12.8,8.9,12.7,9.8
2014,small town,6.8,5.7,6.2,5.7,7.1,8.4
2014,village,3.1,2.6,1.8,1.7,2.2,2.8
2014,rural countryside,4.7,2.4,2.3,2.8,4.5,4.6
2014,seaside resort or town,1.8,0.7,1.1,1.4,2.4,2.1
2014,seaside coastline - a beach,0.9,0.4,0.8,0.9,1.2,0.9
2014,other seaside coastline,1.3,0.1,0.5,0.3,0.3,-
2015,type of place visited,,,,,,
2015,city/large town,16.8,13.8,11.7,8.3,8.5,8.5
2015,small town,8.3,7.8,4.6,4.5,6.2,5.8
2015,village,1.6,2.1,1.9,1.9,2.2,3.1
2015,rural countryside,3.0,3.9,2.6,2.3,4.8,3.2
2015,seaside resort or town,1.5,0.8,1.6,0.7,1.7,2.3
2015,seaside coastline - a beach,0.5,1.5,0.6,0.7,1.0,0.3
2015,other seaside coastline,0.1,0.5,0.1,0.2,0.7,0.3
2016,type of place visited,,,,,,
2016,city/large town,11.6,10.2,9.5,8.0,11.5,10.3
2016,small town,6.4,7.4,7.5,4.2,6.8,6.3
2016,village,2.9,2.9,3.2,2.2,2.6,3.0
2016,rural countryside,4.2,3.3,3.4,2.1,3.8,4.7
2016,seaside resort or town,0.4,1.0,1.4,0.8,1.0,2.6
2016,seaside coastline - a beach,0.4,1.1,0.3,0.8,0.6,1.4
2016,other seaside coastline,0.3,0.5,0.3,0.2,0.3,0.4
2017,type of place visited,,,,,,
2017,city/large town,18.3,13.4,11.0,9.0,9.3,9.0
2017,small town,11.5,7.5,4.5,4.8,6.4,5.3
2017,village,4.9,6.4,1.9,1.5,1.8,2.3
2017,rural countryside,2.5,4.2,2.5,2.6,5.2,4.0
2017,seaside resort or town,1.3,1.5,0.8,1.3,1.3,2.9
2017,seaside coastline - a beach,1.3,2.2,0.3,2.1,1.4,1.0
2017,other seaside coastline,0.7,0.5,0.4,-,0.1,0.1
2018,type of place visited,,,,,,
2018,city/large town,12.2,14.9,8.0,8.2,10.0,10.2
2018,small town,10.2,7.5,4.0,4.2,5.6,6.2
2018,village,2.7,3.3,2.6,2.0,2.3,2.5
2018,rural countryside,2.0,3.3,2.9,2.8,3.4,2.7
2018,seaside resort or town,1.7,1.0,0.7,1.0,1.3,1.8
2018,seaside coastline - a beach,1.0,1.2,0.4,0.7,1.1,0.8
2018,other seaside coastline,1.0,0.3,-,0.2,0.4,-
2019,type of place visited,,,,,,
2019,city/large town,11.5,11.0,9.4,8.0,9.9,8.7
2019,small town,6.1,7.1,5.7,4.8,6.4,6.4
2019,village,4.4,2.4,2.4,1.9,2.1,3.0
2019,rural countryside,3.0,2.8,2.1,2.4,3.6,4.6
2019,seaside resort or town,1.2,1.2,0.8,1.4,1.2,3.2
2019,seaside coastline - a beach,1.5,1.4,1.0,0.6,1.1,1.1
2019,other seaside coastline,0.1,0.3,0.2,0.1,0.5,0.2
