year,type,action,male,female
2011,transport,any car (net),47.0,56.4
2011,transport,car - own/friends/family,45.1,56.0
2011,transport,car - hired,1.9,0.5
2011,transport,public transport (net),11.7,13.9
2011,transport,train,5.9,6.9
2011,transport,a regular bus\coach,5.8,7.0
2011,transport,organised coach tour,1.3,0.9
2011,transport,taxi,3.2,1.6
2011,transport,walked\on foot,4.1,7.7
2011,transport,bicycle,0.5,0.2
2011,transport,minibus,0.4,0.3
2011,transport,motor cycle,0.3,0.3
2011,transport,tube,0.5,0.2
2011,transport,tram,0.5,0.0
2011,transport,motorised caravan\campervan,0.5,0.0
2011,transport,plane,0.7,0.9
2011,transport,boat\ship\ferry,0.1,0.4
2011,transport,lorry\truck\van,0.1,0.1
2011,transport,other,0.2,0.0
2012,transport,any car (net),50.4,60.4
2012,transport,car - own/friends/family,49.5,59.9
2012,transport,car - hired,1.0,0.5
2012,transport,public transport (net),11.1,17.7
2012,transport,train,5.3,9.3
2012,transport,a regular bus\coach,5.8,8.4
2012,transport,organised coach tour,0.7,1.1
2012,transport,taxi,1.7,2.0
2012,transport,walked\on foot,5.2,5.3
2012,transport,bicycle,1.6,0.4
2012,transport,minibus,0.2,0.4
2012,transport,motor cycle,0.1,0.1
2012,transport,tube,0.2,0.3
2012,transport,tram,0.0,0.1
2012,transport,motorised caravan\campervan,0.0,0.0
2012,transport,plane,0.1,0.5
2012,transport,boat\ship\ferry,0.4,0.4
2012,transport,lorry\truck\van,0.7,1.4
2012,transport,other,0.4,0.7
2013,transport,any car (net),41.4,52.2
2013,transport,car - own/friends/family,40.0,51.6
2013,transport,car - hired,1.3,0.6
2013,transport,public transport (net),15.2,14.8
2013,transport,train,8.3,7.0
2013,transport,a regular bus\coach,6.9,7.8
2013,transport,organised coach tour,1.1,0.6
2013,transport,taxi,1.3,1.9
2013,transport,walked\on foot,4.0,4.5
2013,transport,bicycle,1.3,0.4
2013,transport,minibus,0.1,0.2
2013,transport,motor cycle,0.4,0.1
2013,transport,tube,0.1,0.1
2013,transport,tram,0.0,0.0
2013,transport,motorised caravan\campervan,0.2,0.2
2013,transport,plane,0.1,0.1
2013,transport,boat\ship\ferry,0.2,0.7
2013,transport,lorry\truck\van,0.2,0.2
2013,transport,other,0.4,0.4
2014,transport,car - own/friends/family,42.9,51.6
2014,transport,car - hired,1.1,0.5
2014,transport,public transport,15.0,14.8
2014,transport,train,9.7,6.7
2014,transport,a regular bus\coach,5.3,8.0
2014,transport,organised coach tour,0.6,0.2
2014,transport,taxi,2.7,2.2
2014,transport,walked\on foot,4.4,5.0
2014,transport,bicycle,0.9,0.6
2014,transport,minibus,0.0,0.3
2014,transport,motor cycle,0.2,0.0
2014,transport,tube,0.0,0.0
2014,transport,tram,0.3,0.2
2014,transport,motorised caravan\campervan,0.0,0.1
2014,transport,plane,0.6,0.0
2014,transport,boat\ship\ferry,0.2,0.5
2014,transport,lorry\truck\van,0.2,0.0
2014,transport,other,0.4,0.7
2015,transport,car - own/friends/family,42.7,44.7
2015,transport,car - hired,1.2,0.7
2015,transport,public transport,17.3,16.4
2015,transport,train,10.4,7.0
2015,transport,a regular bus\coach,6.9,9.4
2015,transport,organised coach tour,0.8,1.3
2015,transport,taxi,2.2,1.2
2015,transport,walked\on foot,4.2,4.6
2015,transport,bicycle,0.7,0.3
2015,transport,minibus,0.7,0.3
2015,transport,motor cycle,0.0,0.2
2015,transport,tube,0.0,0.1
2015,transport,tram,0.1,0.2
2015,transport,motorised caravan\campervan,0.1,0.1
2015,transport,plane,0.7,0.4
2015,transport,boat\ship\ferry,0.5,0.3
2015,transport,lorry\truck\van,0.0,0.1
2015,transport,other,0.3,0.4
2016,transport,car - own/friends/family,38.1,53.8
2016,transport,car - hired,1.2,1.3
2016,transport,public transport,13.4,14.5
2016,transport,train,7.4,6.7
2016,transport,a regular bus\coach,6.1,7.8
2016,transport,organised coach tour,1.0,0.5
2016,transport,taxi,3.5,1.4
2016,transport,walked\on foot,3.4,4.5
2016,transport,bicycle,0.2,0.6
2016,transport,tube,0.1,0.4
2016,transport,tram,0.0,0.2
2016,transport,motorised caravan\campervan,0.0,0.5
2016,transport,plane,0.2,0.5
2016,transport,boat\ship\ferry,0.0,0.1
2016,transport,lorry\truck\van,0.1,0.2
2016,transport,other,1.1,1.0
2017,transport,car - own/friends/family,41.0,51.6
2017,transport,car - hired,5.8,0.6
2017,transport,public transport,14.9,14.3
2017,transport,train,8.6,7.4
2017,transport,a regular bus\coach,6.3,6.9
2017,transport,organised coach tour,1.6,1.5
2017,transport,taxi,1.8,2.1
2017,transport,walked\on foot,3.1,5.4
2017,transport,bicycle,0.7,0.7
2017,transport,tube,0.4,0.2
2017,transport,tram,0.4,0.2
2017,transport,motorised caravan\campervan,0.6,0.3
2017,transport,plane,1.6,0.1
2017,transport,boat\ship\ferry,0.0,0.5
2017,transport,lorry\truck\van,0.3,0.2
2017,transport,other,0.7,0.4
2018,transport,car - own/friends/family,40.2,44.0
2018,transport,car - hired,2.1,0.6
2018,transport,public transport,14.9,14.1
2018,transport,train,9.1,7.7
2018,transport,a regular bus\coach,5.8,6.4
2018,transport,organised coach tour,0.4,0.7
2018,transport,taxi,2.0,1.5
2018,transport,walked\on foot,5.5,5.8
2018,transport,bicycle,0.6,0.2
2018,transport,tube,0.5,0.1
2018,transport,tram,0.1,0.3
2018,transport,motorised caravan\campervan,0.1,0.0
2018,transport,plane,0.5,1.2
2018,transport,boat\ship\ferry,0.1,0.0
2018,transport,lorry\truck\van,0.2,0.2
2018,transport,other,0.8,1.2
2019,transport,car - own/friends/family,34.2,45.8
2019,transport,car - hired,1.7,0.6
2019,transport,public transport,13.7,14.9
2019,transport,train,8.3,7.5
2019,transport,a regular bus\coach,5.4,7.3
2019,transport,organised coach tour,1.4,1.1
2019,transport,taxi,3.4,2.3
2019,transport,walked\on foot,3.5,4.0
2019,transport,bicycle,0.8,0.4
2019,transport,tube,1.1,0.5
2019,transport,tram,0.2,0.1
2019,transport,motorised caravan\campervan,0.3,0.1
2019,transport,plane,1.0,0.3
2019,transport,boat\ship\ferry,0.1,0.3
2019,transport,lorry\truck\van,0.2,0.1
2019,transport,other,0.6,0.8
