activity,total,male,female,16-24,25-34,35-44,45-54,55-64,65+,married,not married,yes,no,access to car (1+),no access to car (0),ab,c1,c2,de,employed/self-employed (full or part time),in full or part time education,unemployed/not working,Unnamed: 23,year,activities undertaken,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
visiting friends or family for leisure,53.9,22.1,31.9,11.5,9.8,7.7,8.7,7.1,9.2,33.7,20.3,11.5,42.4,43.6,10.3,17.3,18.4,9.8,8.4,32.2,7.3,15.6,,2011,,,,,,,,,,,,,,,,,,,,,,,
'special' shopping for items that you do not regularly buy,13.3,5.6,7.8,2.5,2.0,2.3,3.4,2.2,1.0,9.7,3.6,4.7,8.7,11.4,1.9,5.0,3.3,3.1,2.0,9.8,1.1,2.6,,2011,,,,,,,,,,,,,,,,,,,,,,,
going out for a meal,39.2,15.3,23.8,5.3,5.7,4.8,8.6,5.8,8.9,27.5,11.7,7.9,31.3,34.6,4.6,13.9,11.4,7.3,6.5,23.2,3.3,13.1,,2011,,,,,,,,,,,,,,,,,,,,,,,
"going on a night out to a bar, pub and/or club",24.1,12.9,11.2,6.1,5.8,3.0,5.7,1.8,1.7,14.4,9.8,5.8,18.3,19.1,5.0,8.0,7.8,4.9,3.3,17.0,3.6,4.0,,2011,,,,,,,,,,,,,,,,,,,,,,,
"going out for entertainment - to a cinema, concert or theatre",11.3,5.0,6.3,3.0,3.0,1.6,1.9,0.8,1.0,6.8,4.5,3.7,7.6,8.8,2.5,4.0,3.5,2.1,1.7,7.4,2.0,2.0,,2011,,,,,,,,,,,,,,,,,,,,,,,
"undertaking outdoor leisure activities such as walking, cycling, golf, etc.",25.8,14.1,11.8,3.0,3.2,4.7,5.6,5.5,3.9,18.3,7.5,5.4,20.4,23.6,2.2,12.0,6.1,3.9,3.8,17.0,1.6,7.5,,2011,,,,,,,,,,,,,,,,,,,,,,,
"taking part in other leisure activities such as hobbies, evening classes, etc (outside of your home)",8.1,4.7,3.5,2.9,1.7,0.7,0.9,0.7,1.2,2.9,5.3,1.4,6.7,5.6,2.5,2.3,2.5,1.8,1.6,5.2,1.3,1.9,,2011,,,,,,,,,,,,,,,,,,,,,,,
"taking part in sports, including events or competitions",6.3,4.2,2.2,1.2,1.4,1.6,0.8,0.5,0.8,4.0,2.3,2.2,4.1,5.9,0.4,2.7,1.6,1.0,1.0,4.4,0.5,1.6,,2011,,,,,,,,,,,,,,,,,,,,,,,
watching live sporting events (not on tv),8.2,6.0,2.2,1.5,1.7,1.3,1.9,1.2,0.6,5.3,3.0,2.3,6.0,7.6,0.6,2.5,2.9,1.5,1.3,5.9,0.7,1.7,,2011,,,,,,,,,,,,,,,,,,,,,,,
"going to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",11.1,4.9,6.2,1.9,2.4,2.1,2.3,1.5,0.8,7.7,3.3,3.0,8.1,9.0,2.1,4.4,3.3,2.4,1.0,7.8,1.1,2.5,,2011,,,,,,,,,,,,,,,,,,,,,,,
